2026-03-20 09:04:03 [INFO]  [costmap_client.cpp:73] Waiting for costmap to become available, topic: /tb3_3/map
2026-03-20 09:04:04 [INFO]  [explore.cpp:951] Loaded 3 initial AOA angles from parameter server.
2026-03-20 09:04:04 [INFO]  [explore.cpp:994] Sensor range = 3.500000
2026-03-20 09:04:04 [INFO]  [explore.cpp:995] min_frontier_size = 2.000000
2026-03-20 09:04:04 [INFO]  [explore.cpp:1007] Quadmap_width (world-meters), Quadmap_height (world-meters): 19.000000, 19.000000
2026-03-20 09:04:04 [INFO]  [explore.cpp:1008] map_resolution__ 0.150000
2026-03-20 09:04:04 [INFO]  [explore.cpp:1034] **********************Robot map coord: 39, 79
2026-03-20 09:04:04 [INFO]  [explore.cpp:1035] **********************Map limits: 26, 172, 39, 145
2026-03-20 09:04:04 [INFO]  [explore.cpp:1042] width, height: 126.666664, 126.666664
2026-03-20 09:04:04 [INFO]  [explore.cpp:1046] map_center_x, map_center_y: 99.000000, 92.000000
2026-03-20 09:04:04 [INFO]  [explore.cpp:1050] cell_count : 36.000000
2026-03-20 09:04:04 [INFO]  [explore.cpp:1061] Waiting to connect to move_base server
2026-03-20 09:04:04 [INFO]  [explore.cpp:1063] Connected to move_base server
2026-03-20 09:04:05 [INFO]  [explore.cpp:1163]  ========= Deque size : 0 ======== 
2026-03-20 09:04:05 [INFO]  [explore.cpp:1377] Not sufficient pose history
2026-03-20 09:04:11 [INFO]  [explore.cpp:1163]  ========= Deque size : 299 ======== 
2026-03-20 09:04:11 [INFO]  [explore.cpp:1377] Not sufficient pose history
2026-03-20 09:04:11 [INFO]  [explore.cpp:333] === Entered SensingCallbackFilter ===
2026-03-20 09:04:17 [INFO]  [explore.cpp:1163]  ========= Deque size : 598 ======== 
2026-03-20 09:04:17 [INFO]  [explore.cpp:1377] Not sufficient pose history
2026-03-20 09:04:17 [INFO]  [explore.cpp:333] === Entered SensingCallbackFilter ===
2026-03-20 09:04:17 [INFO]  [explore.cpp:358] Current pose (x, y, heading): -0.00, 0.03, 359.97
2026-03-20 09:04:17 [INFO]  [explore.cpp:372] Got relative measurements for Robot ID 1
2026-03-20 09:04:17 [INFO]  [explore.cpp:382] Using Own SLAM Pose
2026-03-20 09:04:17 [INFO]  [explore.cpp:410] Selecting measurements
2026-03-20 09:04:17 [INFO]  [explore.cpp:419] Measurement iterator = 0
2026-03-20 09:04:17 [INFO]  [explore.cpp:422] Initialized for robot id: 1
2026-03-20 09:04:17 [INFO]  [explore.cpp:423] Initialized angle for 90.000000
2026-03-20 09:04:17 [INFO]  [explore.cpp:426] Initialized angle updated
2026-03-20 09:04:17 [INFO]  [explore.cpp:447] Workaround for range measurements
2026-03-20 09:04:17 [INFO]  [explore.cpp:470] Own pose when relative measurements obtained (x, y, heading): 0.00, 0.02, 0.06
2026-03-20 09:04:17 [INFO]  [explore.cpp:474] Range (meter): 6.20, Raw AOA (degrees): 90.00, Adjusted AOA top peak (degrees): 90.06
2026-03-20 09:04:17 [INFO]  [explore.cpp:490] Own position (world): 0.00, 0.02 (ID: 3)
2026-03-20 09:04:17 [INFO]  [explore.cpp:494] Own position (map): 39, 79
2026-03-20 09:04:17 [INFO]  [explore.cpp:507] Creating track for Robot ID 1
2026-03-20 09:04:17 [INFO]  [explore.cpp:524] First estimate (world x_j, y_j) = -0.006804, 6.220589
2026-03-20 09:04:17 [INFO]  [state_filter.cpp:221] Obtained bearing measurements size 1
2026-03-20 09:04:17 [INFO]  [state_filter.cpp:228] Angle_measured (deg): 90.109294, d2: 0.233830
2026-03-20 09:04:17 [INFO]  [state_filter.cpp:253] Angle_pred (deg): 85.836083, Angle_measured (deg): 90.109292, residuals: 0.074544, probs: 0.999700
2026-03-20 09:04:17 [INFO]  [explore.cpp:564] **** getSizeInCellsX, getSizeInCellsY: 224, 160 **** 
2026-03-20 09:04:17 [INFO]  [explore.cpp:565] Estimate in map: (39, 121)
2026-03-20 09:04:17 [INFO]  [explore.cpp:589] Inserted in Quadmap
2026-03-20 09:04:17 [INFO]  [explore.cpp:609] -----finished-----
2026-03-20 09:04:17 [INFO]  [explore.cpp:372] Got relative measurements for Robot ID 2
2026-03-20 09:04:17 [INFO]  [explore.cpp:382] Using Own SLAM Pose
2026-03-20 09:04:17 [INFO]  [explore.cpp:410] Selecting measurements
2026-03-20 09:04:17 [INFO]  [explore.cpp:419] Measurement iterator = 0
2026-03-20 09:04:17 [INFO]  [explore.cpp:422] Initialized for robot id: 2
2026-03-20 09:04:17 [INFO]  [explore.cpp:423] Initialized angle for 90.000000
2026-03-20 09:04:17 [INFO]  [explore.cpp:426] Initialized angle updated
2026-03-20 09:04:17 [INFO]  [explore.cpp:447] Workaround for range measurements
2026-03-20 09:04:17 [INFO]  [explore.cpp:470] Own pose when relative measurements obtained (x, y, heading): 0.00, 0.02, 0.06
